ID,Intent,Question_EN,Answer_EN,Question_HA,Answer_HA,Keywords,Source,Keywords_HA,Confidence
TAX_013,petroleum_tax,Are incentives available for the utilisation of associated gas?,"Yes, the Act provides specific incentives to encourage the utilisation of associated gas.",Shin akwai wani abin da zai sa ka yi amfani da shi don ka sa iska ta yi daɗi?,"Hakika, dokar ta ba da takamammun bayanai game da yin amfani da turare.","gas, incentive, associated gas","Nigeria Tax Act 2025, Section 93","Hakika,, dokar, takamammun, bayanai, amfani",HIGH
TAX_014,value_added_tax,Are passenger road-transport services exempt from VAT?,Shared passenger road-transport services are generally exempt from VAT.,Ka yi ƙoƙari sosai don kada ka yi amfani da waɗannan abubuwan a hanyar da ba ta dace ba?,"Alal misali, an san cewa akwai wasu abubuwa da yawa da za su taimaka mana mu san yadda za mu yi amfani da su a wa'azi.","VAT, transport, exempt, bus","Nigeria Tax Act 2025, Part IV","misali,, akwai, abubuwa, taimaka, yadda",HIGH
TAX_015,value_added_tax,Is agricultural equipment subject to VAT?,Purchase or lease of tractors and equipment for agricultural purposes is exempt.,Masu gyaran wuta suna cin nasara ne a yaƙi na huɗu?,"Alal misali, ka yi la'akari da labarin wata ' yar'uwa da take da zama a ƙasar Jamus.","VAT, agriculture, tractor, exempt","Nigeria Tax Act 2025, Part IV","misali,, la'akari, labarin, yar'uwa, ƙasar",HIGH
TAX_016,deductions,What expenses are allowed to be deducted from business profits?,Expenses must be wholly and exclusively incurred for the production of income to be deductible.,Waɗanne abubuwa ne za su iya taimaka mana mu rage yawan kuɗin da muke kashewa?,Ya kamata a biya kuɗin da za a biya don a biya kuɗin da za a biya na albashi mai tsoka.,"deduction, allowable, business, expenses","Nigeria Tax Act 2025, Section 20","kamata, kuɗin, kuɗin, albashi, tsoka.",HIGH
TAX_017,deductions,Are penalties paid to the government tax-deductible?,"No, any expenditure incurred as a penalty (e.g., gas flare fees) is not a deductible expense.",Halin biyan haraji yana nuna cewa gwamnati tana biyan haraji ne?,"A'a, babu kuɗin da za a kashe da za a kashe kamar yadda aka yi a dā.","penalty, non-deductible, gas flare","Nigeria Tax Act 2025, Sections 21 & 100","kuɗin, kashe, kashe, kamar, yadda",HIGH
TAX_018,deductions,Can I deduct the cost of capital assets from my daily business income?,Capital expenditure is generally not allowed as a deduction; capital allowances are claimed instead.,Zan iya rage kuɗin da nake kashewa a kowace rana kuwa?,"A yawancin lokaci, ba a ba da kuɗin da ake kashewa a kai a kai ba. Amma, ana neman kuɗi ne daga babban birnin.","capital, allowance, deduction, asset","Nigeria Tax Act 2025, Section 21","yawancin, lokaci,, kuɗin, kashewa, Amma,",HIGH
TAX_019,assessable_profits,What is the basis for computing assessable profits for a business?,Assessable profits are generally based on the profits of the accounting period preceding the year of assessment.,Me ya sa za a bincika fa'idodi da za a samu idan aka gwada da irin sana'o'in da ake yi a kamfanin?,"Idan ka bincika kanka sosai, za ka ga amfanin motsa jiki da kyau.","assessable profits, accounting period, basis","Nigeria Tax Act 2025, Section 26","bincika, kanka, sosai,, amfanin, motsa",HIGH
TAX_020,assessable_profits,What happens to tax when a company permanently stops its trade?,Specific cessation rules apply for computing assessable profits in the year a business shuts down.,Menene ke faruwa da haraji sa'ad da sana'ar kasuwanci ta ci gaba?,An yi amfani da dokoki don a gwada yadda za a yi amfani da su a shekarar da aka rufe ma'aikaci.,"cessation, trade, shutdown, assessable","Nigeria Tax Act 2025, Sections 22–26","amfani, dokoki, gwada, yadda, amfani",HIGH
TAX_021,assessable_profits,How is tax calculated for a new business starting for the first time?,New businesses follow specific commencement rules to determine their assessable profits for their first few years.,Ta yaya aka kwatanta kuɗin da ake kashewa don wani sabon sana'a da ya soma?,"A cikin shekaru da yawa da suka shige, masana kimiyya sun bi mizanai na farko don su san yadda za su amfana.","new business, commencement, first year","Nigeria Tax Act 2025, Sections 22–26","cikin, shekaru, shige,, masana, kimiyya",HIGH
TAX_022,development_levy,What is the Development Levy under the 2025 Act?,"It is a levy charged to support national infrastructure, security, and education funds.",Menene amfanin bin Dokar da Aka Ba da ta Hannun Musa ya ƙunsa?,"Alal misali, a ƙasar Faransa, ana amfani da gudummawar da ake bayarwa don a tallafa wa wata ƙasa, kāriya, da kuɗi.","development levy, infrastructure, security","Nigeria Tax Act 2025, Section 59","misali,, ƙasar, Faransa,, amfani, gudummawar",HIGH
TAX_023,development_levy,How is the Development Levy money distributed?,"Split between Nigeria Police (15%), Nigerian Education Loan (15%), and other security/tech funds.",Ta yaya aka rarraba kuɗin da ake kashewa?,"' Yan sandan ciki sun sayar da kuɗin da suke kashewa a hannun ' yan sandan ciki, kuma hakan ya sa suna samun isashen kuɗi da kuma wasu kayayyakin fasaha.","development levy, police, education, distribution","Nigeria Tax Act 2025, Sections 59 & 14th Schedule","sandan, sayar, kuɗin, kashewa, hannun",HIGH
TAX_024,development_levy,What is the Defence and Security Infrastructure Fund?,A fund established by the Act to implement national security schemes and develop the defence industry.,Mene ne ra'ayin bayyanau game da ɗabi'ar ' yan Adam?,Wani bincike da aka yi don a yi amfani da Dokar don a yi amfani da kāriya ta ƙasar kuma a gina hanyar da ta dace.,"defence fund, security, infrastructure","Nigeria Tax Act 2025, 14th Schedule","bincike, amfani, Dokar, amfani, kāriya",HIGH
TAX_025,value_added_tax,Is milk subject to VAT in Nigeria?,"No, milk (fresh or processed) is exempt from VAT.",Kana cin madara da madara ta huɗu a Nijeriya?,"A'a, madara (ko kuma ta canja inci huɗu).","VAT, milk, exempt, food","Nigeria Tax Act 2025, Section 186 & Schedule","madara, canja, huɗu).",HIGH
TAX_026,value_added_tax,Are medical services for animals taxable?,Medical services for both humans and animals rendered by a qualified practitioner are VAT exempt.,Shin akwai wasu hanyoyin biyan haraji da ake yi don dabbobi ne?,"Alal misali, likitoci da dabbobi suna amfani da likitoci don su yi wa ' yan Adam jinya da kuma dabbobi horo.","VAT, veterinary, medical, exempt","Nigeria Tax Act 2025, Section 186 & Schedule","misali,, likitoci, dabbobi, amfani, likitoci",HIGH
TAX_027,value_added_tax,Are farm tractors subject to VAT?,"The purchase, hire, or lease of tractors and agricultural equipment is VAT exempt.",Masu noman noma suna biyayya ne ga Allah na huɗu?,"Alal misali, ka yi la'akari da labarin wani ɗan'uwa mai suna Jason da ya yi murabus daga aikin da ake yi a ƙasar Faransa.","VAT, tractor, farm, exempt, agriculture","Nigeria Tax Act 2025, Part IV","misali,, la'akari, labarin, ɗan'uwa, Jason",HIGH
TAX_028,petroleum_tax,What is the basis period for income tax on petroleum operations?,The basis period is generally the accounting period of the company engaged in petroleum operations.,Wane lokaci ne ya kamata a yi amfani da shi don a nuna cewa kuɗin yana da kyau?,Lokaci yakan wuce da za mu yi amfani da shi a kamfanin da muke amfani da shi don biyan bukatunmu.,"petroleum, basis period, income tax","Nigeria Tax Act 2025, Section 90","Lokaci, yakan, amfani, kamfanin, amfani",HIGH
TAX_029,petroleum_tax,How is the 'Adjusted Profit' of a petroleum company calculated?,"It is the profit of the period after specific deductions allowed under the Act, such as those in Section 97.","Ta yaya aka kwatanta ""wani kifi "" da"" tarayya ""?","(Zabura 119: 105) Sakamakon kwanakin baya bayan nan, an ba da muhimman amfani a cikin Dokar, kamar waɗanda aka ambata a talifi na 97 A.Z., kamar waɗanda aka ambata a talifi na gaba.","adjusted profit, petroleum, deductions","Nigeria Tax Act 2025, Section 96","(Zabura, Sakamakon, kwanakin, bayan, muhimman",HIGH
TAX_030,petroleum_tax,What defines 'Petroleum' under Chapter Three of the Act?,"It includes hydrocarbons in their natural state, such as crude oil, natural gas, and condensates.","Menene ma'anar furcin nan: ""A cikin shari'a ta dokoki ""?","A cikin jikinsa, kamar su shan iska da iska da kuma iskar ƙuna.","petroleum, definition, crude oil, gas","Nigeria Tax Act 2025, Section 117","cikin, jikinsa,, kamar, iskar, ƙuna.",HIGH
TAX_031,petroleum_tax,Are royalties for natural gas and gas liquids different from crude oil?,"Yes, the Act specifies that royalties for natural gas follow a distinct set of rules.",Shin za ka ba da kyauta ne domin iska da kuma ruwan sama sun yi dabam da juna?,"Hakika, dokar ta nuna cewa ba za a karɓi kuɗi daga wani wuri dabam ba.","royalty, gas, crude oil, liquids","Nigeria Tax Act 2025, First Schedule","Hakika,, dokar, karɓi, dabam",HIGH
TAX_032,petroleum_tax,What happens if a company sells chargeable oil below the fiscal price?,Additional tax may be payable if the sale price is lower than the established fiscal oil price.,Mene ne zai iya faruwa idan wani ma'aikaci ya sayar da kuɗin da yake kashewa a ƙarƙashin hukuma?,Kuna iya ba da kuɗin da kuke kashewa don kada a biya kuɗin da kuke kashewa.,"fiscal price, chargeable oil, additional tax","Nigeria Tax Act 2025, Section 91","kuɗin, kashewa, kuɗin, kashewa.",HIGH
TAX_033,psc_taxation,What is 'Cost Oil' in a Production Sharing Contract?,The portion of available crude oil used to reimburse the contractor for operating and capital costs.,Mene ne kuɗin da ake kashewa a yin amfani da shi a yin amfani da na'urar buga littattafai?,An yi amfani da na'ura don a rage kuɗin da ake kashewa a kan kuɗin da ake kashewa da kuma babban birnin.,"PSC, cost oil, contractor, recover","Nigeria Tax Act 2025, Section 117","amfani, na'ura, kuɗin, kashewa, kuɗin",HIGH
TAX_034,psc_taxation,How is 'Tax Oil' defined in the 2025 Act?,The portion of available crude oil used by the holder to settle the contractor's income tax liabilities.,"Ta yaya aka ba da ma'anar "" doka ' a cikin Dokar da Aka Ba da ta Hannun Musa?","Alal misali, idan mutum yana so ya sami ƙarin kuɗi, yana iya yin amfani da na'ura don ya kula da hakkin da yake da shi game da haraji.","PSC, tax oil, contractor, liability","Nigeria Tax Act 2025, Section 117","misali,, mutum, ƙarin, kuɗi,, amfani",HIGH
TAX_035,psc_taxation,Who determines quality and gravity differentials for Nigerian crude?,Differentials are based on the established fiscal oil price for Nigerian crude of comparable quality.,"To, wãne ne yake gwada su da mafi kyau daga gare su, da kuma zurfin ƙarfi?",An tsara yadda za a yi amfani da kuɗin da ake kashewa don kada a yi amfani da shi a hanyar da ba ta dace ba.,"crude, gravity, fiscal price, differentials","Nigeria Tax Act 2025, Section 91(2)","tsara, yadda, amfani, kuɗin, kashewa",HIGH
TAX_036,administration,Can a tax officer act without the standard seven-day notice?,"Yes, an officer not below the rank of Chief Inspector may act without notice in specific urgent cases.",Shin wani ma'aikacin gwamnati zai iya aikata ba tare da gargaɗin da aka ba da na kwana bakwai ba?,"Hakika, wani ma'aikaci da bai zauna a ƙarƙashin matsayi na musamman ba zai iya yin gargaɗi ba babu ɓata lokaci.","tax officer, notice, 7 days, urgent","FIRS Tax Law Compendium, p.142","Hakika,, ma'aikaci, zauna, ƙarƙashin, matsayi",HIGH
TAX_037,administration,What is the minimum notice period for document requests from the tax service?,Generally at least seven days from the date of service.,Mene ne zai faru idan aka gano cewa ba a rage kuɗin da aka saka a cikin ma'aikata a cikin majami'ar ba?,Na yi kwanaki bakwai kafin ranar hidima.,"notice, 7 days, documents, FIRS","FIRS Tax Law Compendium, p.142","kwanaki, bakwai, kafin, ranar, hidima.",HIGH
TAX_038,administration,What is 'Qualifying Expenditure' for capital allowance purposes?,"Capital expenditure on assets like plant, machinery, or buildings used for business.",Me ya sa ' yan tarihi suka ce aikin babban birnin babban birnin babban birni ne?,"Wani babban birnin da ke da nisa sosai kamar su shuki, gine - gine, ko kuma wuraren kasuwanci.","qualifying expenditure, capital allowance, plant","FIRS Tax Law Compendium, Fourth Schedule","babban, birnin, sosai, kamar, shuki,",HIGH
TAX_039,administration,How is the 'Residue' of qualifying expenditure calculated?,It is the total expenditure minus the total allowances previously granted for that asset.,Ta yaya aka kwatanta yawan kuɗin da ake kashewa?,Ba a biyan kuɗin da ake kashewa kawai ba amma don a ba da dukan kuɗin da aka ba da kafin wannan aikin.,"residue, qualifying expenditure, allowance","FIRS Tax Law Compendium, Fourth Schedule","biyan, kuɗin, kashewa, kawai, dukan",HIGH
TAX_040,administration,Does a new lease on the same asset count as separate expenditure?,"If a new lease is granted to the same lessee on termination, it is treated as a continuation of the first lease.",Ka sake yin tunanin yadda za ka kashe kanka?,"Idan aka ba da sabon alkawarin da aka yi da kansa, za a iya ɗaukan alkawari da aka yi a matsayin alkawari na farko da aka yi.","lease, continuation, allowance, asset","FIRS Tax Law Compendium, Fourth Schedule","sabon, alkawarin, kansa,, ɗaukan, alkawari",HIGH
TAX_041,stamp_duty,"Are electronic transfers below N10,000 subject to tax?","No, electronic transfers or receipts below N10,000 are exempt from duty.",Ina amfani da kuɗin da nake da shi wajen sayar da kaya a ƙarƙashin ƙasa?,"A'a, ko kuma ' yan'uwa suna da ' yanci sosai.","stamp duty, N10k, exempt, transfer","Nigeria Tax Act 2025, Section 185(i)","yan'uwa, yanci, sosai.",HIGH
TAX_042,stamp_duty,Is the transfer of shares in Nigerian companies exempt from stamp duty?,"Yes, all documents relating to transfer of stocks and shares are exempt from stamp duties.",Kana ganin ba ka da ' yancin yin wasu ayyuka a kamfanin da kake amfani da su?,"Hakika, kowanne cikin rubuce - rubucen halitta da ba su da iyaka suna da ' yancin zaɓe.","stamp duty, shares, exempt, stocks","Nigeria Tax Act 2025, Section 185(h)","Hakika,, kowanne, cikin, rubuce, rubucen",HIGH
TAX_043,stamp_duty,Are salary payments exempt from the Electronic Money Transfer Levy?,"Yes, transfers made for salary payments are specifically exempt from the levy.",Shin kuɗin da aka biya na kuɗi yana da kyau ne?,"Hakika, kuɗin da ake biya don a biya kuɗin haraji ba shi da muhimmanci.","EMTL, salary, exempt, transfer","Nigeria Tax Act 2025, Section 185(i)","Hakika,, kuɗin, kuɗin, haraji, muhimmanci.",HIGH
TAX_044,stamp_duty,Do intra-bank self-transfers attract electronic transfer charges?,"No, transfers between a person's own accounts within the same bank are exempt.",Shin za ka iya yin amfani da na'urar buga littattafai don ka sayi katin wa'azi?,"A'a, ana amfani da kuɗin da mutum yake da shi a cikin bankin.","intra-bank, self-transfer, exempt, EMTL","Nigeria Tax Act 2025, Section 185(i)","amfani, kuɗin, mutum, cikin, bankin.",HIGH
TAX_045,stamp_duty,Are instruments executed by co-operative societies subject to stamp duty?,"No, any instrument executed by a registered co-operative society is exempt.",Shin za ka iya yin amfani da kuɗin da aka kashe don kawar da cin hanci da rashawa?,"A'a, babu wani abu da aka kashe domin jama'a da aka san da su daidai ne.","co-operative, stamp duty, exempt","Nigeria Tax Act 2025, Section 185(e)","kashe, domin, jama'a, daidai",HIGH
TAX_046,capital_gains_tax,What is the new Capital Gains Tax (CGT) rate for companies?,The standard CGT rate for companies is aligned with CIT at 30% under the 2025 Act.,"Menene sabon haraji a babban birnin Cedar Point, a ƙasar Amirka?","A misalin shekara ta 56 bayan haihuwar Yesu, masana sun ba da gudummawar kuɗi don su yaɗa bishara.","CGT, companies, 30%, rate","Nigeria Tax Act 2025, Section 34","misalin, shekara, bayan, haihuwar, Yesu,",HIGH
TAX_047,capital_gains_tax,Are digital assets like cryptocurrencies subject to Capital Gains Tax?,"Yes, chargeable assets now explicitly include digital assets, cryptocurrencies, and digital tokens.",Ana ba da gudummawar kuɗi a kan biyan haraji na babban birnin kuwa?,"Hakika, mai ƙwazo ya haɗa da yin aiki tuƙuru, magani, magani, da sauransu.","CGT, crypto, digital assets, NFT","Nigeria Tax Act 2025, Section 34","Hakika,, ƙwazo, tuƙuru,, magani,, magani,",HIGH
TAX_048,capital_gains_tax,When is the sale of shares in a Nigerian company exempt from CGT?,Exempt if proceeds are less than N150m and the chargeable gain does not exceed N10m in 12 months.,A wane lokaci ne ake samun kuɗin sayan kaya a kamfanin kasuwanci?,"Alal misali, ka yi la'akari da wannan misalin: A ce kuɗin da aka shuka a ƙasa yana da tsada sosai, saboda haka, ba za a iya rage yawan kuɗin da ake kashewa a cikin watanni 12 ba.","CGT, shares, exempt, N150m, N10m","Nigeria Tax Act 2025, Section 34","misali,, la'akari, wannan, misalin:, kuɗin",HIGH
TAX_049,capital_gains_tax,Are gains from government bonds taxable?,"No, income generated from government bonds is listed as exempt income.",Rashin kuɗi ya hana gwamnati samun kuɗi ne?,"A'a, kuɗin da gwamnati take biya na albashi mai tsoka ne.","CGT, bonds, government, exempt","Nigeria Tax Act 2025, Section 121","kuɗin, gwamnati, albashi, tsoka",HIGH
TAX_050,administration,What is the 'Electronic Fiscal System' (EFS)?,A digital system mandated for recording and reporting all taxable supplies to ensure accuracy.,"To, mecece ' yar'uwar nan?",Wani tsari da aka zaɓa ya rubuta kuma ya sanar da duka abin da ya tabbatar da gaskiyar.,"EFS, electronic, fiscal, digital, system","Nigeria Tax Administration Act 2025, Section 23","tsari, rubuta, sanar, tabbatar, gaskiyar.",HIGH
TAX_051,administration,When must a business file its monthly return for chargeable services?,Returns must generally be submitted by the 21st day of the following month.,A wane lokaci ne za a ba da rahoton ƙarin jini?,Ana bukatar a bincika su kafin rana ta 21 ga wata.,"monthly return, 21st day, filing","Nigeria Tax Administration Act 2025, Section 24","bukatar, bincika, kafin, wata.",HIGH
TAX_052,administration,What is the deadline for reporting foreign exchange transactions?,Foreign exchange transactions must be reported within seven days.,Menene lokaci na musamman na sanar da muhimman amfani?,Ana bukatar a yi amfani da tsawon kwanaki bakwai.,"forex, FX, 7 days, report","Nigeria Tax Administration Act 2025, Section 24","bukatar, amfani, tsawon, kwanaki, bakwai.",HIGH
TAX_053,presumptive_tax,What is 'Presumptive Tax' under the new law?,A simplified tax assessment used when a taxpayer's actual income cannot be determined due to lack of records.,Menene tushen wannan ƙa'ida a cikin sabuwar doka?,Wani lauya na Majalisar Ɗinkin Duniya ya yi amfani da gudummawar da aka bayar don ya tabbata cewa kuɗin da aka ba ka ba ka ya dangana ne a kan ainihin abin da ake bukata.,"presumptive tax, records, simplified","Nigeria Tax Act 2025, Section 29","lauya, Majalisar, Ɗinkin, Duniya, amfani",HIGH
TAX_054,administration,Who is the 'Tax Ombud' established by the 2025 reforms?,The Tax Ombud is an office created to handle and resolve taxpayer grievances and disputes.,"To, wãne ne ""mai - girman kai, "" kuma wane ne"" ya sanya shi a cikin mafi kyau ""?","Alal misali, ka yi la'akari da labarin wani mai wasan kwaikwayo da aka yi amfani da shi wajen magance matsaloli da jayayya.","tax ombud, grievances, disputes, taxpayer",Joint Revenue Board Act 2025,"misali,, la'akari, labarin, wasan, kwaikwayo",HIGH
TAX_055,value_added_tax,What is the difference between VAT 'Exempt' and 'Zero-Rated' (0%) supplies?,Exempt means no VAT charged and no input tax can be claimed. Zero-rated means 0% charged but input tax can be claimed.,"Menene bambanci tsakanin kuɗin da ake kashewa na huɗu da na huɗu da rabi na littafin nan U.S.A., da kuma wasu abubuwa masu ban sha'awa?","Alal misali, ana iya ba ma'anar kuɗin da ake kashewa a kai a kai, amma yana nufin cewa ba za a iya biyan haraji na ɗan lokaci ba.","VAT, exempt, zero-rated, input tax, difference","Nigeria Tax Act 2025, Sections 186–187","misali,, ma'anar, kuɗin, kashewa, nufin",HIGH
TAX_056,value_added_tax,Are basic food items like bread and rice subject to VAT?,"No, basic food items (bread, cereals, vegetables) are Zero-Rated (0%) to keep them affordable.",Shin abincin da ake ci da kuma hatsi yana kama ne da abincin da aka ci?,"A'a, abincin da ake ci, da kuma kayan lambu, su ne ƙwayoyin halitta, kuma suna da tsada sosai don su taimaka wa mutane su san yadda za su yi amfani da shi.","VAT, food, bread, rice, zero-rated, exempt","Nigeria Tax Act 2025, Section 187","abincin, kayan, lambu,, ƙwayoyin, halitta,",HIGH
TAX_057,value_added_tax,Does a student pay VAT on school fees (tuition)?,"No, tuition for nursery, primary, secondary, and tertiary education is Zero-Rated (0%).","Nazarin Littafi Mai Tsarki na Huɗu game da jami'a (a tsakiya), ko kuma jami'a)?","A'a, kashe jariri na uku, na biyu, na biyu, yana da muni sosai.","VAT, school fees, tuition, education, zero-rated","Nigeria Tax Act 2025, Section 187","kashe, jariri, biyu,, biyu,, sosai.",HIGH
TAX_058,value_added_tax,Is electricity supply subject to VAT?,Electricity across the entire value chain (generation to consumer) is now Zero-Rated (0%).,Ana samun isashen wutar lantarki ne a cikin wuta na huɗu?,"Ruwan sama da ake amfani da shi a duk lokacin da aka samo wutar lantarki, ana sake girmar ta a yanzu.","VAT, electricity, zero-rated, DISCO, GENCO","Nigeria Tax Act 2025, Section 187","Ruwan, amfani, lokacin, wutar, lantarki,",HIGH
TAX_059,value_added_tax,Do I pay VAT on medical services or medicines?,Medical services and pharmaceutical products are Zero-Rated (0%); cosmetology is excluded.,Abubuwan da Ke Kawo Farin Ciki a Iyali - Kubawar Shari'a 6: 1 - 4.,"Alal misali, wasu likitoci suna amfani da maganin hana ɗaukar ciki da kuma wasu abubuwan da ake samu a Intane.","VAT, medical, medicine, pharmaceutical, zero-rated","Nigeria Tax Act 2025, Section 187","misali,, likitoci, amfani, maganin, ɗaukar",HIGH
TAX_060,value_added_tax,Are baby products like diapers and milk taxed?,"No, baby products for children aged 0–3 years are VAT Exempt under the 2025 Act.",Suna cin abincin da suke sha domin yara da madara da kuma madara?,"A'a, ' ya'ya mata fiye da 1473 K.Z., suna da dangantaka ta huɗu da Dokar Musa.","VAT, baby, diapers, exempt, children","Nigeria Tax Act 2025, Section 186","ya'ya, K.Z.,, dangantaka, Dokar, Musa.",HIGH
TAX_061,value_added_tax,What is the VAT treatment for public transport?,Shared passenger road transport is VAT Exempt; ride-hailing (Uber/Bolt) is not exempt.,Mene ne maganin jinya na huɗu da aka yi wa jama'a ya ƙunsa?,Wani jirgin ruwa da ke kan hanya yana da zama a kan hanya mai kyau; hanya ta huɗu da za mu bi ba ta da kyau.,"VAT, transport, danfo, keke, exempt, uber","Nigeria Tax Act 2025, Section 186","jirgin, hanya, hanya, kyau;, hanya",HIGH
TAX_062,value_added_tax,Do exporters pay VAT on goods sent out of Nigeria?,Exported goods and services (except oil and gas) are Zero-Rated (0%) to encourage exports.,Waɗanda aka aika a dā sun ba da abin biyan bukata ta huɗu ne game da manzanni daga Nijeriya?,Abubuwan duniya da kuma wasu ayyuka da ake yi a dā suna da tsada sosai don a ɗaukaka su.,"VAT, export, zero-rated, goods, international","Nigeria Tax Act 2025, Section 187","Abubuwan, duniya, ayyuka, tsada, sosai",HIGH
TAX_063,development_levy,What is the 'Development Levy' introduced in 2025?,"A single 4% levy on the assessable profits of medium and large companies, replacing several old taxes.","To, mẽne ne ya saukar da shi a cikin 'ya'yan itãcen marmari a cikin shekara 20?","Kusan kashi 4 bisa ɗari bisa ɗari bisa ɗari na masana kimiyya da kuma masu karɓan haraji da yawa, sun kawar da haraji masu yawa na dā.","development levy, 4%, TET, police levy","Nigeria Tax Act 2025, Section 59","Kusan, kashi, masana, kimiyya, karɓan",HIGH
