ID,Intent,Question_EN,Answer_EN,Question_HA,Answer_HA,Keywords,Source
TAX_024,development_levy,What is the Defence and Security Infrastructure Fund?,A fund established by the Act to implement national security schemes and develop the defence industry.,,,"defence fund, security, infrastructure","Nigeria Tax Act 2025, 14th Schedule"
TAX_025,value_added_tax,Is milk subject to VAT in Nigeria?,"No, milk (fresh or processed) is exempt from VAT.",,,"VAT, milk, exempt, food","Nigeria Tax Act 2025, Section 186 & Schedule"
TAX_026,value_added_tax,Are medical services for animals taxable?,Medical services for both humans and animals rendered by a qualified practitioner are VAT exempt.,,,"VAT, veterinary, medical, exempt","Nigeria Tax Act 2025, Section 186 & Schedule"
TAX_027,value_added_tax,Are farm tractors subject to VAT?,"The purchase, hire, or lease of tractors and agricultural equipment is VAT exempt.",,,"VAT, tractor, farm, exempt, agriculture","Nigeria Tax Act 2025, Part IV"
TAX_028,petroleum_tax,What is the basis period for income tax on petroleum operations?,The basis period is generally the accounting period of the company engaged in petroleum operations.,,,"petroleum, basis period, income tax","Nigeria Tax Act 2025, Section 90"
TAX_029,petroleum_tax,How is the 'Adjusted Profit' of a petroleum company calculated?,"It is the profit of the period after specific deductions allowed under the Act, such as those in Section 97.",,,"adjusted profit, petroleum, deductions","Nigeria Tax Act 2025, Section 96"
TAX_030,petroleum_tax,What defines 'Petroleum' under Chapter Three of the Act?,"It includes hydrocarbons in their natural state, such as crude oil, natural gas, and condensates.",,,"petroleum, definition, crude oil, gas","Nigeria Tax Act 2025, Section 117"
TAX_031,petroleum_tax,Are royalties for natural gas and gas liquids different from crude oil?,"Yes, the Act specifies that royalties for natural gas follow a distinct set of rules.",,,"royalty, gas, crude oil, liquids","Nigeria Tax Act 2025, First Schedule"
TAX_032,petroleum_tax,What happens if a company sells chargeable oil below the fiscal price?,Additional tax may be payable if the sale price is lower than the established fiscal oil price.,,,"fiscal price, chargeable oil, additional tax","Nigeria Tax Act 2025, Section 91"
TAX_033,psc_taxation,What is 'Cost Oil' in a Production Sharing Contract?,The portion of available crude oil used to reimburse the contractor for operating and capital costs.,,,"PSC, cost oil, contractor, recover","Nigeria Tax Act 2025, Section 117"
TAX_034,psc_taxation,How is 'Tax Oil' defined in the 2025 Act?,The portion of available crude oil used by the holder to settle the contractor's income tax liabilities.,,,"PSC, tax oil, contractor, liability","Nigeria Tax Act 2025, Section 117"
TAX_035,psc_taxation,Who determines quality and gravity differentials for Nigerian crude?,Differentials are based on the established fiscal oil price for Nigerian crude of comparable quality.,,,"crude, gravity, fiscal price, differentials","Nigeria Tax Act 2025, Section 91(2)"
TAX_036,administration,Can a tax officer act without the standard seven-day notice?,"Yes, an officer not below the rank of Chief Inspector may act without notice in specific urgent cases.",,,"tax officer, notice, 7 days, urgent","FIRS Tax Law Compendium, p.142"
TAX_037,administration,What is the minimum notice period for document requests from the tax service?,Generally at least seven days from the date of service.,,,"notice, 7 days, documents, FIRS","FIRS Tax Law Compendium, p.142"
TAX_038,administration,What is 'Qualifying Expenditure' for capital allowance purposes?,"Capital expenditure on assets like plant, machinery, or buildings used for business.",,,"qualifying expenditure, capital allowance, plant","FIRS Tax Law Compendium, Fourth Schedule"
TAX_039,administration,How is the 'Residue' of qualifying expenditure calculated?,It is the total expenditure minus the total allowances previously granted for that asset.,,,"residue, qualifying expenditure, allowance","FIRS Tax Law Compendium, Fourth Schedule"
TAX_040,administration,Does a new lease on the same asset count as separate expenditure?,"If a new lease is granted to the same lessee on termination, it is treated as a continuation of the first lease.",,,"lease, continuation, allowance, asset","FIRS Tax Law Compendium, Fourth Schedule"
TAX_041,stamp_duty,"Are electronic transfers below N10,000 subject to tax?","No, electronic transfers or receipts below N10,000 are exempt from duty.",,,"stamp duty, N10k, exempt, transfer","Nigeria Tax Act 2025, Section 185(i)"
TAX_042,stamp_duty,Is the transfer of shares in Nigerian companies exempt from stamp duty?,"Yes, all documents relating to transfer of stocks and shares are exempt from stamp duties.",,,"stamp duty, shares, exempt, stocks","Nigeria Tax Act 2025, Section 185(h)"
TAX_043,stamp_duty,Are salary payments exempt from the Electronic Money Transfer Levy?,"Yes, transfers made for salary payments are specifically exempt from the levy.",,,"EMTL, salary, exempt, transfer","Nigeria Tax Act 2025, Section 185(i)"
TAX_044,stamp_duty,Do intra-bank self-transfers attract electronic transfer charges?,"No, transfers between a person's own accounts within the same bank are exempt.",,,"intra-bank, self-transfer, exempt, EMTL","Nigeria Tax Act 2025, Section 185(i)"
TAX_045,stamp_duty,Are instruments executed by co-operative societies subject to stamp duty?,"No, any instrument executed by a registered co-operative society is exempt.",,,"co-operative, stamp duty, exempt","Nigeria Tax Act 2025, Section 185(e)"
TAX_046,capital_gains_tax,What is the new Capital Gains Tax (CGT) rate for companies?,The standard CGT rate for companies is aligned with CIT at 30% under the 2025 Act.,,,"CGT, companies, 30%, rate","Nigeria Tax Act 2025, Section 34"
TAX_047,capital_gains_tax,Are digital assets like cryptocurrencies subject to Capital Gains Tax?,"Yes, chargeable assets now explicitly include digital assets, cryptocurrencies, and digital tokens.",,,"CGT, crypto, digital assets, NFT","Nigeria Tax Act 2025, Section 34"
TAX_048,capital_gains_tax,When is the sale of shares in a Nigerian company exempt from CGT?,Exempt if proceeds are less than N150m and the chargeable gain does not exceed N10m in 12 months.,,,"CGT, shares, exempt, N150m, N10m","Nigeria Tax Act 2025, Section 34"
TAX_049,capital_gains_tax,Are gains from government bonds taxable?,"No, income generated from government bonds is listed as exempt income.",,,"CGT, bonds, government, exempt","Nigeria Tax Act 2025, Section 121"
TAX_050,administration,What is the 'Electronic Fiscal System' (EFS)?,A digital system mandated for recording and reporting all taxable supplies to ensure accuracy.,,,"EFS, electronic, fiscal, digital, system","Nigeria Tax Administration Act 2025, Section 23"
TAX_051,administration,When must a business file its monthly return for chargeable services?,Returns must generally be submitted by the 21st day of the following month.,,,"monthly return, 21st day, filing","Nigeria Tax Administration Act 2025, Section 24"
TAX_052,administration,What is the deadline for reporting foreign exchange transactions?,Foreign exchange transactions must be reported within seven days.,,,"forex, FX, 7 days, report","Nigeria Tax Administration Act 2025, Section 24"
TAX_053,presumptive_tax,What is 'Presumptive Tax' under the new law?,A simplified tax assessment used when a taxpayer's actual income cannot be determined due to lack of records.,,,"presumptive tax, records, simplified","Nigeria Tax Act 2025, Section 29"
TAX_054,administration,Who is the 'Tax Ombud' established by the 2025 reforms?,The Tax Ombud is an office created to handle and resolve taxpayer grievances and disputes.,,,"tax ombud, grievances, disputes, taxpayer",Joint Revenue Board Act 2025
TAX_055,value_added_tax,What is the difference between VAT 'Exempt' and 'Zero-Rated' (0%) supplies?,Exempt means no VAT charged and no input tax can be claimed. Zero-rated means 0% charged but input tax can be claimed.,,,"VAT, exempt, zero-rated, input tax, difference","Nigeria Tax Act 2025, Sections 186–187"
TAX_056,value_added_tax,Are basic food items like bread and rice subject to VAT?,"No, basic food items (bread, cereals, vegetables) are Zero-Rated (0%) to keep them affordable.",,,"VAT, food, bread, rice, zero-rated, exempt","Nigeria Tax Act 2025, Section 187"
TAX_057,value_added_tax,Does a student pay VAT on school fees (tuition)?,"No, tuition for nursery, primary, secondary, and tertiary education is Zero-Rated (0%).",,,"VAT, school fees, tuition, education, zero-rated","Nigeria Tax Act 2025, Section 187"
TAX_058,value_added_tax,Is electricity supply subject to VAT?,Electricity across the entire value chain (generation to consumer) is now Zero-Rated (0%).,,,"VAT, electricity, zero-rated, DISCO, GENCO","Nigeria Tax Act 2025, Section 187"
TAX_059,value_added_tax,Do I pay VAT on medical services or medicines?,Medical services and pharmaceutical products are Zero-Rated (0%); cosmetology is excluded.,,,"VAT, medical, medicine, pharmaceutical, zero-rated","Nigeria Tax Act 2025, Section 187"
TAX_060,value_added_tax,Are baby products like diapers and milk taxed?,"No, baby products for children aged 0–3 years are VAT Exempt under the 2025 Act.",,,"VAT, baby, diapers, exempt, children","Nigeria Tax Act 2025, Section 186"
TAX_061,value_added_tax,What is the VAT treatment for public transport?,Shared passenger road transport is VAT Exempt; ride-hailing (Uber/Bolt) is not exempt.,,,"VAT, transport, danfo, keke, exempt, uber","Nigeria Tax Act 2025, Section 186"
TAX_062,value_added_tax,Do exporters pay VAT on goods sent out of Nigeria?,Exported goods and services (except oil and gas) are Zero-Rated (0%) to encourage exports.,,,"VAT, export, zero-rated, goods, international","Nigeria Tax Act 2025, Section 187"
TAX_063,development_levy,What is the 'Development Levy' introduced in 2025?,"A single 4% levy on the assessable profits of medium and large companies, replacing several old taxes.",,,"development levy, 4%, TET, police levy","Nigeria Tax Act 2025, Section 59"
TAX_064,development_levy,Do small businesses pay the 4% Development Levy?,"No, small companies (turnover ≤N100m and fixed assets ≤N250m) are exempt.",,,"development levy, small business, exempt","Nigeria Tax Act 2025, Section 59"
TAX_065,excise_duty,Are digital products or electronic goods subject to excise duty?,"Yes, the 2025 Act expands excise duties to cover certain digital products and locally manufactured electronics.",,,"excise, digital, electronics, duty","Nigeria Tax Act 2025, Section 195"
TAX_066,customs_duty,Who is responsible for collecting Customs and Excise duties?,The Nigeria Customs Service (NCS) remains the sole authority for assessing and collecting these duties.,,,"customs, NCS, excise, collection","Nigeria Tax Act 2025, Chapter 7"
TAX_067,customs_duty,What is the penalty for making a false declaration to Customs?,"A false declaration can lead to a N5 million fine or imprisonment, plus seizure of the goods.",,,"customs, false declaration, penalty, N5m","Nigeria Tax Act 2025, Chapter 7"
TAX_068,value_added_tax,What is 'VAT Fiscalisation'?,A mandatory digital system where businesses must report every taxable sale to the tax authority in real-time.,,,"VAT, fiscalisation, digital, real-time, EFS","Nigeria Tax Act 2025, Section 158"
TAX_069,excise_duty,Is there a tax on fossil fuels in the 2025 Act?,"Yes, a 5% Fossil Fuel Surcharge; excludes household kerosene, LPG (cooking gas), and CNG.",,,"fossil fuel, surcharge, 5%, kerosene, LPG, CNG","Nigeria Tax Act 2025, Chapter 7"
TAX_070,withholding_tax,What is Withholding Tax (WHT) in Nigeria?,"WHT is an advance payment of income tax, deducted at the source of a transaction and remitted to FIRS.",,,"WHT, withholding tax, advance, source, FIRS","Nigeria Tax Act 2025, Section 92"
TAX_071,withholding_tax,What is the WHT rate for consultancy or professional services?,5% for individuals and 10% for corporate entities.,,,"WHT, consultancy, professional, 5%, 10%","Nigeria Tax Act 2025, Section 94"
TAX_072,withholding_tax,Does Withholding Tax apply to dividends?,"Yes, dividends are subject to WHT at 10%; may vary for non-residents under tax treaties.",,,"WHT, dividend, 10%, non-resident, treaty","Nigeria Tax Act 2025, Section 95"
TAX_073,withholding_tax,Is WHT a final tax for everyone?,"No, WHT is usually a credit against the total tax liability at year-end, except for certain income types.",,,"WHT, final tax, credit, annual","Nigeria Tax Act 2025, Section 96"
TAX_074,withholding_tax,What is a 'WHT Credit Note'?,A document proving that tax was deducted from your payment; used to reduce your total annual tax bill.,,,"WHT, credit note, FIRS, reduce tax","Nigeria Tax Act 2025, Section 98"
TAX_075,stamp_duty,What is Stamp Duty?,"Tax on written or electronic instruments (documents) such as agreements, contracts, and receipts.",,,"stamp duty, document, agreement, contract","Nigeria Tax Act 2025, Section 102"
TAX_076,stamp_duty,Does every bank transfer attract the Electronic Money Transfer Levy?,"The EMT Levy of N50 applies to electronic transfers of N10,000 or more into a bank account.",,,"EMTL, bank transfer, N50, N10k","Nigeria Tax Act 2025, Section 105"
TAX_077,stamp_duty,Are rent agreements subject to Stamp Duty?,"Yes, lease and tenancy agreements must be stamped at rates based on the duration of the lease.",,,"stamp duty, rent, lease, agreement","Nigeria Tax Act 2025, Section 108"
TAX_078,withholding_tax,What is the penalty for failing to deduct Withholding Tax?,"Penalty of 10% of the amount not deducted, plus interest at the prevailing CBN rate.",,,"WHT, penalty, 10%, CBN rate","Nigeria Tax Act 2025, Section 100"
TAX_079,withholding_tax,When must WHT be remitted to the FIRS?,WHT must be remitted within 30 days of the date the amount was deducted.,,,"WHT, remit, 30 days, FIRS, deadline","Nigeria Tax Act 2025, Section 101"
TAX_080,stamp_duty,Do I need to pay Stamp Duty on a gift of land?,"Yes, instruments conveying property as a gift are subject to stamp duty based on property value.",,,"stamp duty, gift, land, property","Nigeria Tax Act 2025, Section 110"
TAX_081,withholding_tax,Is there WHT on interest earned from savings?,"Yes, interest earned is generally subject to WHT at 10%, deducted by the bank.",,,"WHT, savings, interest, 10%, bank","Nigeria Tax Act 2025, Section 95"
TAX_082,stamp_duty,What happens if a document is not stamped?,Unstamped documents may not be admissible as evidence in court for civil proceedings.,,,"stamp duty, unstamped, court, inadmissible","Nigeria Tax Act 2025, Section 115"
TAX_083,withholding_tax,Are small businesses exempt from deducting WHT?,Small businesses with turnover below the VAT threshold are often exempt from acting as WHT agents.,,,"WHT, small business, exempt, agent","Nigeria Tax Act 2025, Section 93"
TAX_084,stamp_duty,Who pays the Stamp Duty on a contract between two parties?,"Unless agreed otherwise, the person receiving the document or beneficiary of the contract usually pays.",,,"stamp duty, who pays, contract, beneficiary","Nigeria Tax Act 2025, Section 112"
TAX_085,company_income_tax,How are companies classified for tax under the 2025 Act?,"Small (turnover ≤N50m), Medium (>N50m to N100m), and Large (>N100m).",,,"CIT, company, small, medium, large, turnover","Nigeria Tax Act 2025, Section 56"
TAX_086,company_income_tax,What is the CIT rate for a Small Company?,"Small companies (turnover ≤N50m) are subject to 0% CIT, provided not in professional services.",,,"CIT, small company, 0%, exempt","Nigeria Tax Act 2025, Section 56"
TAX_087,company_income_tax,What is the CIT rate for a Medium Company?,Medium companies with turnover N50m–N100m are taxed at 20%.,,,"CIT, medium company, 20%, turnover","Nigeria Tax Act 2025, Section 56"
TAX_088,company_income_tax,What is the CIT rate for a Large Company?,Large companies with turnover exceeding N100m are taxed at 30%.,,,"CIT, large company, 30%, turnover","Nigeria Tax Act 2025, Section 56"
TAX_089,company_income_tax,Do small companies still need to file tax returns?,"Yes, all companies must file annual tax returns regardless of tax size exemption.",,,"CIT, small company, file, returns, mandatory","Nigeria Tax Act 2025, Section 120"
TAX_090,company_income_tax,What is the new Development Levy?,"A consolidated 4% levy on assessable profits of medium and large companies, replacing Education Tax.",,,"development levy, 4%, TET, education tax","Nigeria Tax Act 2025, Section 59"
TAX_091,company_income_tax,Are small companies required to pay the 4% Development Levy?,"No, small companies (turnover ≤N50m) are exempt from the 4% Development Levy.",,,"development levy, small company, exempt","Nigeria Tax Act 2025, Section 59"
TAX_092,company_income_tax,What is the 'Minimum Tax' for companies?,"Companies with no profit pay a minimum tax of 0.5% of gross turnover, unless in first 4 years.",,,"minimum tax, 0.5%, turnover, company","Nigeria Tax Act 2025, Section 65"
TAX_093,company_income_tax,Which companies are exempt from Minimum Tax?,"Small companies, those in their first four years, and primary agricultural businesses are exempt.",,,"minimum tax, exempt, agriculture, first 4 years","Nigeria Tax Act 2025, Section 65"
TAX_094,company_income_tax,What is the deadline for filing CIT returns?,Returns must be filed within 6 months after the end of the company's accounting year.,,,"CIT, filing, deadline, 6 months","Nigeria Tax Act 2025, Section 121"
TAX_095,company_income_tax,Can a company claim 'Capital Allowance' on all assets?,"Yes, but you must provide proof of VAT payment or import duties to claim allowances on qualifying assets.",,,"capital allowance, VAT proof, qualifying assets","Nigeria Tax Act 2025, Section 22"
TAX_096,company_income_tax,What is the tax rate for 'Professional Service' companies?,"Professional service companies (law, accounting) are taxed at 30% regardless of turnover.",,,"CIT, professional services, 30%, law, accounting","Nigeria Tax Act 2025, Section 56"
TAX_097,company_income_tax,How is 'Agricultural Business' taxed?,Primary agricultural businesses enjoy a 5-year tax-free period from the date they commence operations.,,,"agriculture, 5-year, tax-free, pioneer","Nigeria Tax Act 2025, Section 62"
TAX_098,company_income_tax,What is the penalty for late filing of CIT?,"Penalty is N50,000 for the first month of default and N25,000 for every subsequent month.",,,"CIT, late filing, penalty, N50k, N25k","Nigeria Tax Act 2025, Section 125"
TAX_099,company_income_tax,What is the 'Effective Tax Rate' for MNEs?,Large MNEs with global turnover above €750m are subject to a 15% global minimum tax.,,,"MNE, ETR, 15%, global minimum tax, multinational","Nigeria Tax Act 2025, Section 57"
TAX_100,company_income_tax,Are dividends received by a company taxable?,Dividends received from a Nigerian company are 'franked investment income' and not subject to further CIT.,,,"dividend, franked investment, CIT, exempt","Nigeria Tax Act 2025, Section 80"
TAX_101,petroleum_tax,How is the 'Hydrocarbon Tax' calculated for upstream companies?,Hydrocarbon Tax is levied on profits from crude oil at 30% for onshore/shallow water and 15% for PPLs.,,,"hydrocarbon tax, 30%, 15%, onshore, shallow water","Nigeria Tax Act 2025, Section 72"
TAX_102,petroleum_tax,What is the total tax rate for deep offshore oil operations?,Deep offshore operations are exempt from Hydrocarbon Tax but subject to 30% CIT.,,,"petroleum, deep offshore, CIT, 30%","Nigeria Tax Act 2025, Section 73"
TAX_103,petroleum_tax,Can petroleum companies deduct 'Decommissioning' costs?,"Yes, contributions to a decommissioning fund are tax-deductible if backed by a certificate from the Commission.",,,"decommissioning, petroleum, deductible, fund","Nigeria Tax Act 2025, Section 75"
TAX_104,withholding_tax,What is the new Withholding Tax (WHT) rate for residents?,The WHT rate is generally 5% for most services provided by companies and individuals.,,,"WHT, resident, 5%, services","Nigeria Tax Act 2025, Section 82"
TAX_105,withholding_tax,Is WHT a final tax for small businesses?,"For certain small-scale suppliers, the WHT deducted at source may be treated as their final tax liability.",,,"WHT, final tax, small business","Nigeria Tax Act 2025, Section 83"
TAX_106,withholding_tax,What is the WHT rate on Dividends and Interest?,"Dividends, Interest, and Royalties paid to residents are subject to 10% Withholding Tax.",,,"WHT, dividend, interest, royalty, 10%","Nigeria Tax Act 2025, Section 80"
TAX_107,withholding_tax,How many days does a company have to remit WHT?,WHT must be remitted to the FIRS within 21 days after the end of the month of deduction.,,,"WHT, remit, 21 days, FIRS","Nigeria Tax Act 2025, Section 85"
TAX_108,withholding_tax,What happens if a company fails to deduct WHT?,"Failure to deduct results in a penalty of 10% of the tax due, plus interest at the prevailing CBN rate.",,,"WHT, penalty, 10%, CBN, failure","Nigeria Tax Act 2025, Section 86"
TAX_109,petroleum_tax,Are 'Signature Bonuses' tax-deductible?,"No, signature bonuses and production bonuses paid to the Government are not tax-deductible.",,,"signature bonus, petroleum, non-deductible","Nigeria Tax Act 2025, Section 77"
TAX_110,withholding_tax,Do I need a Tax Identification Number (TIN) for WHT?,"Yes, a valid TIN is required for both payer and payee to ensure the WHT credit is properly assigned.",,,"WHT, TIN, credit, payer, payee","Nigeria Tax Act 2025, Section 118"
TAX_111,withholding_tax,Is WHT applied to the purchase of raw materials?,"Generally, direct purchase of goods in the ordinary course of business is exempt from WHT.",,,"WHT, raw materials, goods, exempt","Nigeria Tax Act 2025, Section 82"
TAX_112,petroleum_tax,What is the tax treatment for 'Associated Gas' profits?,"Profits from associated gas are taxed under CIT at 30%, rather than higher PPT/Hydrocarbon rates.",,,"associated gas, CIT, 30%, petroleum","Nigeria Tax Act 2025, Section 79"
TAX_113,withholding_tax,Can a non-resident claim a lower WHT rate?,"Yes, if from a country with a Double Taxation Treaty with Nigeria, rate is capped at 7.5%.",,,"WHT, non-resident, treaty, DTT, 7.5%","Nigeria Tax Act 2025, Section 81"
TAX_114,petroleum_tax,What is the filing deadline for Petroleum profits?,Estimated returns within 2 months of start of year; final returns within 5 months of year-end.,,,"petroleum, filing, deadline, 2 months, 5 months","Nigeria Tax Act 2025, Section 122"
TAX_115,withholding_tax,How do I use a Withholding Tax Credit Note?,Use the credit note issued by FIRS to reduce the actual CIT you owe at the end of the year.,,,"WHT, credit note, FIRS, CIT offset","Nigeria Tax Act 2025, Section 84"
TAX_116,capital_gains_tax,What is the Capital Gains Tax (CGT) rate for companies?,"Under the 2025 Act, capital gains for companies are taxed at the standard CIT rate of 30%.",,,"CGT, company, 30%, disposal","Nigeria Tax Act 2025, Section 56"
TAX_117,capital_gains_tax,Are digital assets like Bitcoin subject to Capital Gains Tax?,"Yes, the 2025 Act explicitly includes digital assets, cryptocurrencies, and tokens as chargeable assets.",,,"CGT, bitcoin, crypto, digital assets, NFT","Nigeria Tax Act 2025, Section 52"
TAX_118,capital_gains_tax,Is there a CGT exemption for selling my primary home?,"Yes, an individual is entitled to a one-time lifetime exemption on their principal private residence.",,,"CGT, primary home, exemption, lifetime, residence","Nigeria Tax Act 2025, Section 55"
TAX_119,capital_gains_tax,Do individuals pay a flat 10% for Capital Gains?,"No, the flat 10% is abolished; individuals' gains are now taxed at progressive PIT rates (0–25%).",,,"CGT, 10%, abolished, progressive, individual","Nigeria Tax Act 2025, Section 58"
TAX_120,stamp_duty,Who pays the Electronic Money Transfer Levy (EMTL) starting 2026?,"From Jan 1, 2026, the N50 levy on transfers of N10,000 or more must be paid by the Sender.",,,"EMTL, sender, N50, N10k, 2026","Nigeria Tax Act 2025, Section 88"
TAX_121,stamp_duty,What is the deadline for stamping a legal document?,Most legal instruments must be stamped within 30 days of execution to be legally admissible.,,,"stamp duty, 30 days, deadline, admissible","Nigeria Tax Act 2025, Section 90"
TAX_122,stamp_duty,What is the stamp duty rate for property leases of 8–21 years?,Lease agreements for 8–21 years attract an ad valorem stamp duty rate of 3%.,,,"stamp duty, lease, 3%, ad valorem, property","Nigeria Tax Act 2025, Schedule 3"
TAX_123,excise_duty,Is there an excise duty on sugar-sweetened beverages?,"Yes, a minimum excise duty of N10 per litre on non-alcoholic, carbonated, and sweetened beverages.",,,"excise, sugar, beverages, N10, litre","Nigeria Tax Act 2025, Section 95"
TAX_124,excise_duty,What are 'Health Taxes' in the 2025 Act?,"Excise duties on tobacco, alcohol, and sugary drinks designed to discourage consumption.",,,"health tax, tobacco, alcohol, excise, sugar","Nigeria Tax Act 2025, Section 96"
TAX_125,capital_gains_tax,Are gains from selling Nigerian shares exempt from tax?,Gains are exempt if total proceeds are less than N150 million within a 12-month period.,,,"CGT, shares, exempt, N150m, 12 months","Nigeria Tax Act 2025, Section 54"
TAX_126,stamp_duty,What is the fixed duty for general contracts?,"For contracts not otherwise specified with a percentage, a fixed stamp duty of N1,000 applies.",,,"stamp duty, N1000, contract, fixed","Nigeria Tax Act 2025, Schedule 3"
TAX_127,excise_duty,Who is responsible for collecting and remitting Excise Duty?,The manufacturer or importer of excisable goods is responsible for collecting and remitting to FIRS.,,,"excise, manufacturer, importer, remit, FIRS","Nigeria Tax Act 2025, Section 98"
TAX_128,capital_gains_tax,Can I deduct the cost of improving an asset from the CGT?,"Yes, cost of acquisition and capital expenditure used to improve the asset's value are deductible.",,,"CGT, improvement, deduction, acquisition cost","Nigeria Tax Act 2025, Section 53"
TAX_129,stamp_duty,What happens if I use an unstamped document in court?,An unstamped document is generally not admissible as evidence until the duty and penalties are paid.,,,"stamp duty, unstamped, court, civil proceedings","Nigeria Tax Act 2025, Section 92"
TAX_130,excise_duty,Does the 2025 Act apply excise to telecommunication services?,The Act provides a framework for excise on specific services; specific rates may be set by the Minister.,,,"excise, telecom, internet, services","Nigeria Tax Act 2025, Section 97"
TAX_131,small_business,What is the tax rate for a 'Small Company' in 2025?,Small companies (annual turnover under N50 million) are subject to 0% Corporate Income Tax.,,,"small company, 0%, CIT, turnover N50m","Nigeria Tax Act 2025, Section 56"
