id,intent,question,answer,keywords,source
TAX_011,capital_gains_tax,Yaushe ake biyan harajin ribar jari?,Ana biyan harajin ribar jari ne lokacin da aka sayar da dukiya kuma aka samu riba daga sayarwar.,"capital gains, sale, asset, profit","Nigeria Tax Act 2025, Section 37"
TAX_012,petroleum_tax,Menene harajin man fetur a Nijeriya?,Harajin man fetur haraji ne da ake karɓa daga kamfanonin mai bisa ribar da suke samu daga hakar mai.,"petroleum tax, oil, companies","Nigeria Tax Act 2025, Section 66"
TAX_013,petroleum_tax,Waɗanne kamfanoni ne ke biyan harajin man fetur?,Kamfanonin da ke aikin hakar mai da iskar gas a Nijeriya ne ke biyan wannan haraji.,"oil companies, gas, petroleum tax","Nigeria Tax Act 2025, Section 93"
TAX_014,value_added_tax,Menene harajin ƙara ƙima (VAT)?,VAT haraji ne da ake ƙara wa kayayyaki da ayyuka a lokacin saye da sayarwa.,"payment, tax","FIRS Tax Law Compendium, Fourth Schedule"
TAX_040,administration,Menene ma'anar compliance a haraji?,Compliance yana nufin bin dukkan dokokin haraji da kuma biyan haraji yadda ya kamata.,"compliance, rules","FIRS Tax Law Compendium, Fourth Schedule"
TAX_041,stamp_duty,Menene stamp duty?,Stamp duty haraji ne da ake biya akan takardu da yarjejeniyoyi na doka.,"stamp duty, documents","Nigeria Tax Act 2025, Section 185(i)"
TAX_042,stamp_duty,Waɗanne takardu ne ke bukatar stamp duty?,"Takardu kamar kwangila, yarjejeniya, da takardun mallaka suna bukatar stamp duty.","documents, contract","Nigeria Tax Act 2025, Section 185(h)"
TAX_043,stamp_duty,Shin ana biyan stamp duty akan dukkan mu'amaloli?,"A'a, ana biyan sa ne kawai akan takardun da doka ta tanada.","transactions, rules","Nigeria Tax Act 2025, Section 185(i)"
TAX_044,stamp_duty,Ta yaya ake biyan stamp duty?,Ana biyan stamp duty ta hanyar banki ko tsarin gwamnati na lantarki.,"payment, stamp duty","Nigeria Tax Act 2025, Section 185(i)"
TAX_045,stamp_duty,Menene hukuncin rashin biyan stamp duty?,Rashin biyan stamp duty na iya jawo tara ko rashin ingancin takarda a doka.,"penalty, document","Nigeria Tax Act 2025, Section 185(e)"
TAX_046,capital_gains_tax,Shin dukiyar da aka sayar tana ƙarƙashin capital gains tax?,"Eh, dukiyar da aka sayar tare da riba tana ƙarƙashin wannan haraji.","assets, CGT","Nigeria Tax Act 2025, Section 34"
TAX_047,capital_gains_tax,Shin akwai rangwame a capital gains tax?,"Eh, akwai wasu rangwame da doka ta tanada ga wasu nau'ikan dukiya.","relief, CGT","Nigeria Tax Act 2025, Section 34"
TAX_048,capital_gains_tax,Yaya ake ƙididdige capital gains tax?,Ana ƙididdige shi ta hanyar cire farashin saye daga farashin sayarwa sannan a ɗora haraji akan ribar.,"calculation, CGT","Nigeria Tax Act 2025, Section 34"
TAX_049,capital_gains_tax,Shin gwamnati na samun kudaden shiga daga capital gains tax?,"Eh, wannan haraji yana daga cikin hanyoyin samun kudaden shiga na gwamnati.",government revenue,"Nigeria Tax Act 2025, Section 121"
TAX_050,administration,Menene rawar hukumar haraji a Nijeriya?,Hukumar haraji tana da alhakin tattara haraji da tabbatar da bin dokokin haraji.,"FIRS, tax authority","Nigeria Tax Administration Act 2025, Section 23"
TAX_051,administration,A wane lokaci ne ake gabatar da rahoton haraji?,"Ana bukatar a gabatar da rahoton haraji kafin ranar da doka ta tanada, misali kafin ranar 21 ga wata ko bisa jadawalin da aka kayyade.","filing deadline, report","Nigeria Tax Administration Act 2025, Section 24"
TAX_052,administration,Menene wa'adin sanar da hukuma game da haraji?,Yawanci ana bukatar a sanar da hukuma cikin kwanaki bakwai ko kamar yadda doka ta tanada.,"notification, timeline","Nigeria Tax Administration Act 2025, Section 24"
TAX_053,presumptive_tax,Menene ma'anar presumptive tax a sabuwar doka?,Presumptive tax wata hanya ce ta kimanta haraji ga ƙananan kasuwanci bisa ƙayyadadden tsarin da ba sai an nuna cikakken ribar ba.,presumptive tax,"Nigeria Tax Act 2025, Section 29"
TAX_054,administration,Wa ke da alhakin gudanar da tsarin haraji a ƙasa?,Hukumar haraji kamar FIRS da sauran hukumomi ne ke kula da aiwatar da dokokin haraji.,tax authority,Joint Revenue Board Act 2025
TAX_055,value_added_tax,Menene VAT kuma ta yaya ake amfani da shi?,VAT haraji ne da ake ɗora wa kaya da ayyuka a kowane mataki na saye da sayarwa.,VAT,"Nigeria Tax Act 2025, Sections 186–187"
TAX_056,value_added_tax,Shin abinci da kayan masarufi suna ƙarƙashin VAT?,Wasu kayan abinci na yau da kullum ana keɓe su daga VAT bisa dokar haraji.,"VAT exemption, food","Nigeria Tax Act 2025, Section 187"
TAX_057,value_added_tax,Waɗanne kaya ne aka keɓe daga VAT?,"Kaya kamar abinci na yau da kullum, magunguna, da wasu ayyuka ana iya keɓe su daga VAT.",VAT exemption,"Nigeria Tax Act 2025, Section 187"
TAX_058,value_added_tax,Shin wutar lantarki tana ƙarƙashin VAT?,Wasu lokuta ana iya sanya VAT akan wutar lantarki bisa tsarin dokar haraji.,"electricity, VAT","Nigeria Tax Act 2025, Section 187"
TAX_059,value_added_tax,Ta yaya VAT ke shafar rayuwar yau da kullum?,VAT yana ƙara farashin kaya da ayyuka da mutane ke siya a kullum.,"impact, VAT","Nigeria Tax Act 2025, Section 187"
TAX_060,value_added_tax,Shin kayan yara suna ƙarƙashin VAT?,Wasu kayan yara na iya samun rangwame ko a keɓe su daga VAT.,children goods,"Nigeria Tax Act 2025, Section 186"
TAX_061,value_added_tax,Menene ayyukan da ke ƙarƙashin VAT?,Yawancin ayyuka na kasuwanci suna ƙarƙashin VAT sai waɗanda doka ta keɓe.,"services, VAT","Nigeria Tax Act 2025, Section 186"
TAX_062,value_added_tax,Shin dukkan kaya daga waje suna ƙarƙashin VAT?,Yawancin kayayyakin da ake shigo da su suna ƙarƙashin VAT sai idan an keɓe su.,"import, VAT","Nigeria Tax Act 2025, Section 187"
TAX_063,development_levy,Menene development levy?,Development levy wani ƙarin haraji ne da ake amfani da shi don tallafa wa ci gaban ƙasa.,levy,"Nigeria Tax Act 2025, Section 59"
TAX_064,development_levy,Wa ke biyan development levy?,Yawanci ma'aikata ko 'yan kasuwa ne ke biyan wannan haraji bisa dokar da aka tanada.,levy payment,"Nigeria Tax Act 2025, Section 59"
TAX_065,excise_duty,Menene excise duty?,Excise duty haraji ne da ake ɗora wa kayayyaki da ake ƙera a cikin ƙasa kamar giya ko taba.,excise,"Nigeria Tax Act 2025, Section 195"
TAX_066,customs_duty,Wa ke kula da customs duty?,Hukumar kwastam ta Najeriya ce ke kula da karɓar harajin shigo da kaya.,customs,"Nigeria Tax Act 2025, Section 115"
TAX_083,withholding_tax,Shin dukkan kasuwanci suna biyan withholding tax?,Yawancin kasuwanci suna biyan sa idan suna cikin ayyukan da doka ta tanada.,business,"Nigeria Tax Act 2025, Section 93"
TAX_084,stamp_duty,Wa ke biyan stamp duty a yarjejeniya?,Yawanci bangarorin da ke cikin yarjejeniya ne ke biyan harajin bisa yarjejeniya.,agreement,"Nigeria Tax Act 2025, Section 112"
TAX_085,company_income_tax,Ta yaya kamfanoni ke biyan company income tax?,Kamfanoni suna biyan haraji bisa ribar da suka samu a cikin shekara.,CIT,"Nigeria Tax Act 2025, Section 56"
TAX_086,company_income_tax,Menene ma'anar company income tax?,Haraji ne da ake ɗora wa ribar kamfanoni.,CIT,"Nigeria Tax Act 2025, Section 56"
TAX_087,company_income_tax,Me yasa kamfanoni ke biyan haraji?,Domin tallafa wa ayyukan gwamnati da ci gaban ƙasa.,purpose,"Nigeria Tax Act 2025, Section 56"
TAX_088,company_income_tax,Nawa ne kason harajin kamfanoni?,Yawanci ana ɗora haraji kamar kashi 30% bisa ribar kamfani.,rate,"Nigeria Tax Act 2025, Section 56"
TAX_089,company_income_tax,Shin kamfanoni dole su gabatar da rahoton haraji?,"Eh, dole ne su gabatar da rahoton haraji na shekara.",filing,"Nigeria Tax Act 2025, Section 120"
TAX_090,company_income_tax,Menene fa'idar biyan haraji ga kamfani?,Yana tabbatar da bin doka da kuma kauce wa hukunci da tara.,benefit,"Nigeria Tax Act 2025, Section 59"
TAX_091,company_income_tax,"Alal misali, ana bukatar a biya kusan kashi 4 bisa ɗari na ' yan'uwa maza da mata fiye da ɗari a faɗin duniya.","A'a, ' yan fim ɗin suna ɗauke da hotuna masu yawa da ke nuna yadda ake samun ci gaba a ƙungiyar Jehobah.","ɗauke, hotuna, yadda, samun, ƙungiyar","Nigeria Tax Act 2025, Section 59"
TAX_092,company_income_tax,"To, mẽne ne mai girma ga ma'aikata?",' Yan kasuwa ba sa biyan kuɗin haraji na kashi goma na kasuwanci idan kashi 4 bisa ɗari na kasuwanci na farko ba su ba da amfanin ba.,"kasuwa, biyan, kuɗin, haraji, kashi","Nigeria Tax Act 2025, Section 65"
TAX_093,company_income_tax,Waɗanne makarantu ne ba su da iyaka?,"' Yan kasuwa, ' yan shekaru huɗu da suka shige, ma'aikata masu ɗaukan kaya masu yawa sun lalace sosai.","kasuwa,, shekaru, shige,, ma'aikata, ɗaukan","Nigeria Tax Act 2025, Section 65"
TAX_094,company_income_tax,Menene lokaci na ƙarshe da za a yi gabatarwa a gabatarwa mai kyau na jami'ar?,"Bayan watanni 6 na aiki, za a yi amfani da na'urar motsa jiki na kamfanin.","Bayan, watanni, aiki,, amfani, na'urar","Nigeria Tax Act 2025, Section 121"
TAX_095,company_income_tax,"Zai iya yin addu'a don ya samu ""al'umma "" game da dukan waɗanda suke aiki tuƙuru?","Hakika, ya kamata ka nuna cewa ka dogara ga Jehobah don ya ba ka ' yancin yin aiki tuƙuru don ka tallafa wa aikin da ake yi a faɗin duniya.","Hakika,, kamata, dogara, Jehobah, yancin","Nigeria Tax Act 2025, Section 22"
TAX_096,company_income_tax,Wane irin sana'o'i ne ake yi don ' yan kasuwa su yi amfani da shi?,"Alal misali, masu bincike a ƙasar Faransa suna amfani da dukan kuɗin da suke da shi wajen yin kasuwanci da ' yan kasuwa.","misali,, bincike, ƙasar, Faransa, amfani","Nigeria Tax Act 2025, Section 56"
TAX_097,company_income_tax,Ta yaya noman noma suka zama ' ya'ya?,"Masu noma suna jin daɗin biyan haraji na ' yan shekara 5 zuwa 5 tun daga watan Oktoba na shekara ta 33 A.Z., sa'ad da suka soma yin hakan.","daɗin, biyan, haraji, shekara, watan","Nigeria Tax Act 2025, Section 62"
TAX_098,company_income_tax,Menene za ka yi sa'ad da aka gabatar da jawabin nan da nan?,Abin baƙin ciki ne cewa a watan farko na shekara ta N.,"baƙin, watan, farko, shekara","Nigeria Tax Act 2025, Section 125"
TAX_099,company_income_tax,"Mecece "" wahala ' da aka yi domin a halarci taron gunduma na shekara - shekara?",' Yan kasuwa masu arziki da yawa suna amfani da na'urar kasuwanci a dukan duniya wajen miliyan 7 zuwa miliyan 7 a biyan haraji na dukan duniya.,"kasuwa, arziki, amfani, na'urar, kasuwanci","Nigeria Tax Act 2025, Section 57"
TAX_100,company_income_tax,"Shin, abin da aka hana su daga al'umma ne?","An ba wa ma'aikata masu yawa da aka samo daga wani kamfanin da aka samo daga cikin jini ""mai - amfani "" kuma ba a yarda da su ba.","ma'aikata, kamfanin, cikin, amfani, yarda","Nigeria Tax Act 2025, Section 80"
TAX_074,withholding_tax,"To, mẽne ne (Alƙur'ãni) bai kasance ba?",Wani bincike da aka yi ya nuna cewa haraji na biyan haraji ya dangana ne ga biyan haraji kowace shekara.,"bincike, haraji, biyan, haraji, dangana","Nigeria Tax Act 2025, Section 98"
TAX_075,stamp_duty,IKOT EKPENE 3 (Efik),"Alal misali, ka yi amfani da abubuwan da aka samo daga littattafai ko kayayyakin tarihi dabam - dabam.","misali,, amfani, abubuwan, littattafai, kayayyakin","Nigeria Tax Act 2025, Section 102"
TAX_076,stamp_duty,Za ka iya rage kuɗin da kake kashewa?,An yi amfani da gudummawar da ake samu daga kwamfuta ko kuma fiye da yadda ake biya albashi mai tsoka.,"amfani, gudummawar, kwamfuta, yadda, albashi","Nigeria Tax Act 2025, Section 105"
TAX_077,stamp_duty,Shin an hana ni yin aiki ne?,"Hakika, waɗanda suka tuba kuma suka zama masu sayar da kaya ya kamata a saka wa kaya masu tsada a lokacin da suka tuba.","Hakika,, waɗanda, sayar, kamata, tsada","Nigeria Tax Act 2025, Section 108"
TAX_078,withholding_tax,Me ya sa karɓan haraji yake da muhimmanci?,"Duk da cewa ba za a iya kawar da wannan halin ba, maimakon haka, ya fi yin amfani da ƙa'idodi da ke cikin Littafi Mai Tsarki.","kawar, wannan, halin, maimakon, haka,","Nigeria Tax Act 2025, Section 100"
TAX_079,withholding_tax,A wane lokaci ne ya kamata a yi amfani da shi a hanyar da ba ta dace ba?,Ya kamata hakan ya kasance da ma'ana a kwanaki 30 bayan faɗuwar rana.,"kamata, hakan, kasance, ma'ana, kwanaki","Nigeria Tax Act 2025, Section 101"
TAX_080,stamp_duty,Ina bukatar in biya kuɗin da nake samu don wata kyauta?,"Hakika, kayan da aka ba kyautar suna da daraja bisa doka game da kuɗi.","Hakika,, kayan, kyautar, daraja, kuɗi.","Nigeria Tax Act 2025, Section 110"
TAX_081,withholding_tax,Akwai abin da za ka iya yi game da kuɗin da za ka samu?,"Hakika, abubuwa da ake so a yi suna da muhimmanci sosai a gare shi, saboda haka, ka yi la'akari da yawan kuɗin da za ka samu a banki.","Hakika,, abubuwa, muhimmanci, sosai, saboda","Nigeria Tax Act 2025, Section 95"
TAX_082,stamp_duty,Mene ne zai faru idan aka kasa yin wani rubutu?,Ba za a iya kwatanta waɗannan rubuce - rubucen da gwaji na gwamnati ba.,"kwatanta, waɗannan, rubuce, rubucen, gwaji","Nigeria Tax Act 2025, Section 115"
TAX_083,withholding_tax,Akwai ƙananan fina - finai da ba su da muhimmanci kuwa?,"A yawancin lokaci, ' yan kasuwa suna yawan yin abubuwa kamar ma'aikatan gwamnati.","yawancin, lokaci,, kasuwa, yawan, abubuwa","Nigeria Tax Act 2025, Section 93"
TAX_084,stamp_duty,"To, wãne ne ke biyan wa'adin da aka yi na wani alkawari a tsakãninsu biyu?","Idan za ka iya tuna wani abu, za ka iya samun takardar bayani ko kuma kuɗin da aka ba ka bayan ka yi murabus daga aiki.","samun, takardar, bayani, kuɗin, bayan","Nigeria Tax Act 2025, Section 112"
TAX_085,company_income_tax,Ta yaya ne ' yan kasuwa suka rarraba kuɗi don haraji a ƙarƙashin Doka 20?,"Don ƙarin bayani, ka duba littafin nan Questions Young People Ask - Answers That Work, Littafi na 2, shafuffuka na 12 - 14.","ƙarin, bayani,, littafin, Questions, Young","Nigeria Tax Act 2025, Section 56"
TAX_086,company_income_tax,Mecece ƙaramar yarinya ' yar Shulem?,"Alal misali, ' yan kasuwa da yawa sun yi amfani da wani tsarin wasanni dabam don su taimaka wa wani ɗan'uwa da ya yi murabus.","misali,, kasuwa, amfani, tsarin, wasanni","Nigeria Tax Act 2025, Section 56"
TAX_087,company_income_tax,Me ya sa ake amfani da gudummawar da ake bayarwa don a sami aikin da za a yi?,"Alal misali, masana kimiyya sun yi amfani da na'urar kasuwanci guda 20 da ke ɗauke da fiye da kashi 20 bisa ɗari.","misali,, masana, kimiyya, amfani, na'urar","Nigeria Tax Act 2025, Section 56"
TAX_088,company_income_tax,Mene ne babban ma'aikacin ya yi don ya sami babban matsayi?,' Yan kasuwa masu girman kuɗi suna amfani da na'urar kasuwanci da ke da tsada sosai a kashi 30 bisa ɗari.,"kasuwa, girman, amfani, na'urar, kasuwanci","Nigeria Tax Act 2025, Section 56"
TAX_089,company_income_tax,"Har ila, ' yan kasuwa suna bukatar su ba da rahoton haraji ne?","Hakika, kowane irin kasuwanci ya kamata ya ba da rahoton haraji na shekara - ko yaya yawan haraji.","Hakika,, kowane, kasuwanci, kamata, rahoton","Nigeria Tax Act 2025, Section 120"
TAX_090,company_income_tax,Mene ne sabon abokin kirki?,"Alal misali, kashi 4 bisa ɗari bisa ɗari bisa ɗari na masanan kimiyya sun ba da rahoto game da amfanin masanan kimiyya da kuma manyan ma'aikata masu yawa da suke biyan haraji.","misali,, kashi, masanan, kimiyya, rahoto","Nigeria Tax Act 2025, Section 59"
TAX_091,company_income_tax,Menene Company Income Tax a Najeriya?,Company Income Tax haraji ne da kamfanoni ke biya akan ribar da suka samu.,"kamfani, haraji, riba","Nigeria Tax Act 2025, Section 59"
TAX_092,company_income_tax,Shin duk kamfanoni suna biyan Company Income Tax?,"Eh, yawancin kamfanoni dole ne su biya haraji bisa ribar da suka samu.","kamfani, biyan haraji","Nigeria Tax Act 2025, Section 65"
TAX_093,company_income_tax,Wane irin kamfani ne ake warewa daga biyan haraji?,Wasu ƙananan kamfanoni ko waɗanda ba su samu riba ba na iya samun rangwame ko keɓewa.,"rangwame, kamfani, haraji","Nigeria Tax Act 2025, Section 65"
TAX_094,company_income_tax,Yaushe kamfani zai gabatar da rahoton haraji?,Kamfani yana gabatar da rahoton haraji bayan ƙarshen shekara ta kasuwanci.,"rahoto, shekara, haraji","Nigeria Tax Act 2025, Section 121"
TAX_089,company_income_tax,Shin kamfani dole ne ya bada rahoton haraji kowace shekara?,"Eh, kowane kamfani dole ne ya gabatar da rahoton haraji kowace shekara.","rahoto, shekara, kamfani","Nigeria Tax Act 2025, Section 120"
TAX_078,withholding_tax,Menene Withholding Tax?,Withholding Tax wani ɓangare ne na haraji da ake cirewa daga biyan kuɗi kafin a ba mai karɓa.,"withholding, haraji, cirewa","Nigeria Tax Act 2025, Section 100"
TAX_079,withholding_tax,Yaushe ake biyan Withholding Tax?,Ana biyan Withholding Tax cikin kwanaki 30 bayan an cire shi.,"kwanaki 30, biyan haraji","Nigeria Tax Act 2025, Section 101"
TAX_121,stamp_duty,Menene Stamp Duty?,Stamp Duty haraji ne da ake biya akan takardu na doka kamar kwangila da yarjejeniya.,"takarda, haraji, doka","Nigeria Tax Act 2025, Section 90"
TAX_082,stamp_duty,Me zai faru idan ba a biya Stamp Duty ba?,Takardar na iya rasa inganci a gaban doka idan ba a biya Stamp Duty ba.,"takarda, doka, haraji","Nigeria Tax Act 2025, Section 115"
TAX_108,withholding_tax,Me zai faru idan mutum bai biya haraji ba?,Rashin biyan haraji na iya haifar da tara ko hukunci daga gwamnati.,"tara, hukunci, haraji","Nigeria Tax Act 2025, Section 86"
TAX_141,administration,Tsawon wane lokaci ya kamata a ajiye bayanan haraji?,Ana bukatar a adana bayanan haraji na tsawon shekaru 6.,"ajiya, shekaru 6, bayanai","Nigeria Tax Act 2025, Section 105"
TAX_134,penalties,Menene hukuncin rashin biyan haraji?,Rashin biyan haraji na iya kaiwa ga tara ko ɗaurin kurkuku.,"hukunci, tara, kurkuku","Nigeria Tax Act 2025, Section 115"
TAX_123,excise_duty,Menene Excise Duty?,Excise Duty haraji ne da ake biya akan kayayyaki kamar giya da taba.,"giya, taba, haraji","Nigeria Tax Act 2025, Section 95"
TAX_116,capital_gains_tax,Menene Capital Gains Tax?,Capital Gains Tax haraji ne da ake biya akan riba daga sayar da dukiya.,"dukiya, riba, haraji","Nigeria Tax Act 2025, Section 56"
TAX_117,capital_gains_tax,Yaya ake lissafin Capital Gains Tax?,Ana lissafa shi ne daga bambanci tsakanin farashin saye da farashin sayar da dukiya.,"lissafi, riba, dukiya","Nigeria Tax Act 2025, Section 52"
TAX_118,capital_gains_tax,Shin sayar da gida yana ƙarƙashin Capital Gains Tax?,"Eh, idan an samu riba daga sayar da gida, ana iya biyan harajin Capital Gains Tax.","gida, sayarwa, haraji","Nigeria Tax Act 2025, Section 55"
TAX_119,capital_gains_tax,Shin duk riba ana cajin Capital Gains Tax?,"A'a, wasu riba na iya samun rangwame ko keɓewa bisa doka.","riba, rangwame, haraji","Nigeria Tax Act 2025, Section 58"
TAX_120,stamp_duty,Wanene ke da alhakin biyan Stamp Duty?,Yawanci ɓangarorin da suka shiga yarjejeniya ne ke biyan Stamp Duty bisa tsarin doka.,"alhaki, yarjejeniya, haraji","Nigeria Tax Act 2025, Section 88"
TAX_121,stamp_duty,Yaushe ya kamata a biya Stamp Duty?,Ana bukatar a biya shi cikin kwanaki 30 bayan kammala takarda.,"kwanaki 30, biyan haraji","Nigeria Tax Act 2025, Section 90"
TAX_122,stamp_duty,Shin akwai hukunci idan aka ƙi biyan Stamp Duty?,"Eh, ana iya saka tara ko kuma takardar ta zama ba ta da inganci a doka.","hukunci, tara, takarda","Nigeria Tax Act 2025, Schedule 3"
TAX_123,excise_duty,Waɗanne kayayyaki ake ɗora wa Excise Duty?,"Kayayyaki kamar giya, taba, da wasu masana'antu suna ƙarƙashin wannan haraji.","giya, taba, kayayyaki","Nigeria Tax Act 2025, Section 95"
TAX_124,excise_duty,Me yasa ake ɗora Excise Duty?,Ana ɗora shi don rage amfani da wasu kayayyaki da kuma tara kudin shiga ga gwamnati.,"dalili, gwamnati, haraji","Nigeria Tax Act 2025, Section 96"
TAX_125,capital_gains_tax,Yaushe ake biyan Capital Gains Tax?,Ana biya bayan an kammala sayar da dukiya kuma an tantance ribar da aka samu.,"lokaci, riba, biyan haraji","Nigeria Tax Act 2025, Section 54"
TAX_126,stamp_duty,Wane irin takardu ake biya Stamp Duty a kansu?,"Takardu kamar kwangila, yarjejeniya, da takardun kasuwanci suna ƙarƙashin Stamp Duty.","kwangila, takardu, haraji","Nigeria Tax Act 2025, Schedule 3"
TAX_127,excise_duty,Wanene ke tattara Excise Duty?,Hukumar kwastam da haraji ta ƙasa ce ke kula da tattara shi.,"hukuma, tattarawa, haraji","Nigeria Tax Act 2025, Section 98"
TAX_128,capital_gains_tax,Zan iya rage adadin Capital Gains Tax da zan biya?,"Eh, ta hanyar amfani da rangwame da dokoki suka tanada.","rage haraji, rangwame","Nigeria Tax Act 2025, Section 53"
TAX_129,stamp_duty,Shin takarda ba tare da Stamp Duty tana da inganci?,"A yawancin lokuta, ba ta da cikakken inganci a gaban doka.","takarda, inganci, doka","Nigeria Tax Act 2025, Section 92"
TAX_130,excise_duty,Shin ana ɗora Excise Duty akan kayayyakin cikin gida?,"Eh, ana ɗora shi akan wasu kayayyakin da ake samarwa a cikin gida.","cikin gida, kayayyaki, haraji","Nigeria Tax Act 2025, Section 97"
TAX_131,small_business,Menene ake kira ƙananan kasuwanci a Najeriya?,Kasuwanci ne da ke da ƙaramin jari da ƙarancin ma'aikata.,"ƙanana, kasuwanci, jari","Nigeria Tax Act 2025, Section 56"
TAX_132,small_business,Shin ƙananan kasuwanci suna biyan haraji?,"Eh, amma wasu na iya samun rangwame ko sauƙin biyan haraji.","ƙanana, rangwame, haraji","Nigeria Tax Act 2025, Section 102"
TAX_133,small_business,Ta yaya ƙananan kasuwanci za su rage haraji?,Ta hanyar kiyaye bayanai da amfani da rangwamen da doka ta bayar.,"rage haraji, bayanai","Nigeria Tax Act 2025, Section 110"
TAX_134,penalties,Menene hukuncin rashin gabatar da rahoton haraji?,Ana iya saka tara ko hukunci bisa ga dokar haraji.,"hukunci, tara, rahoto","Nigeria Tax Act 2025, Section 115"
TAX_135,penalties,Me zai faru idan an bayar da bayanan ƙarya ga haraji?,Zai iya kaiwa ga tara mai tsanani ko hukuncin kurkuku.,"ƙarya, hukunci, kurkuku","Nigeria Tax Act 2025, Section 118"
TAX_136,penalties,Shin akwai tara idan aka makara wajen biyan haraji?,"Eh, ana saka tara idan ba a biya haraji a kan lokaci ba.","makara, tara, lokaci","Nigeria Tax Act 2025, Section 114"
TAX_137,general_exemption,Wadanne kungiyoyi ne ba sa biyan haraji?,Wasu kungiyoyin jin kai da na addini na iya samun keɓewa daga haraji.,"kungiya, keɓewa, haraji","Nigeria Tax Act 2025, Section 21"
TAX_138,general_exemption,Shin akwai keɓewa daga haraji ga wasu mutane?,"Eh, wasu mutane ko kungiyoyi na iya samun keɓewa bisa sharuddan doka.","keɓewa, mutane, doka","Nigeria Tax Act 2025, Section 35"
TAX_139,general_exemption,Shin duk kudaden shiga ana biyan haraji a kansu?,"A'a, wasu kudaden shiga na iya zama keɓaɓɓu daga haraji.","kudin shiga, keɓewa","Nigeria Tax Act 2025, Section 55"
TAX_140,small_business,Yaya ƙananan kasuwanci ke amfana daga rangwamen haraji?,Rangwame yana rage nauyin haraji kuma yana taimaka musu su bunƙasa.,"rangwame, kasuwanci, anfani","Nigeria Tax Act 2025, Section 59"
TAX_141,administration,Yaya tsawon lokaci ake adana bayanan haraji?,Ana bukatar a adana su na tsawon shekaru 6.,"ajiya, shekaru 6","Nigeria Tax Act 2025, Section 105"
TAX_142,penalties,Me yasa gwamnati ke saka hukunci akan rashin biyan haraji?,Don tabbatar da bin doka da kuma tattara kudaden shiga na kasa.,"hukunci, gwamnati","Nigeria Tax Act 2025, Section 116"
TAX_143,general_exemption,Shin akwai haraji akan wasu albashi?,"Eh, amma wasu albashi na iya samun keɓewa bisa ga doka.","albashi, haraji","Nigeria Tax Act 2025, Section 42"
TAX_144,small_business,Ta yaya za a fara ƙananan kasuwanci cikin doka?,Ta hanyar yin rijista da kuma bin ka'idojin haraji.,"rijista, kasuwanci","Nigeria Tax Act 2025, Section 56"
